Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Andreas Jung,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Andreas Larem,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,andreaslarem,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Andreas Lenz,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,DerLenzMdB,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Andreas Lenz,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,DerLenzMdB,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Andreas Lenz,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,DerLenzMdB,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Andreas Lämmel,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,AndreasLaemmel,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Andreas Mattfeldt,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,amattfeldt,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Andreas Mattfeldt,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2013,,Current,amattfeldt,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Andreas Mattfeldt,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,amattfeldt,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Andreas Mattfeldt,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,amattfeldt,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Andreas Mayer,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,AndreasMayerAfD,True,81.4814814814815,m,Germany,The Left,,Legislative,Bundestag,2017,Previous,
Andreas Mehltretter,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,Mehli,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Andreas Mrosek,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,mrosek1958,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2017,Previous,
Andreas Nick,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,drandreasnick,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Andreas Philippi,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2023,Former,Andreas29095076,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Previous,
