Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Carsten Schneider,Male,Germany,Social Democratic Party of Germany,,Executive,,,Current,schneidercar,True,100.0,m,Germany,SPD,"Federal Minister for the Environment, Climate Action, Nature Conservation and Nuclear Safety",Executive,Cabinet,2025,Incumbent,
Cem Özdemir,Male,Germany,Alliance '90/The Greens,,Executive,2021,2025,Former,cem_oezdemir,True,100.0,m,Germany,Greens,Federal Minister of Food and Agriculture; Federal Minister of Education and Research,Executive,Cabinet,2021; 2024,Previous,
Cem Özdemir,Male,Germany,Alliance '90/The Greens,,Executive,2024,2025,Former,cem_oezdemir,True,100.0,m,Germany,Greens,Federal Minister of Food and Agriculture; Federal Minister of Education and Research,Executive,Cabinet,2021; 2024,Previous,
Christian Lindner,Male,Germany,Free Democratic Party,,Executive,2021,2024,Former,c_lindner,True,100.0,m,Germany,FDP,Federal Minister of Finance,Executive,Cabinet,2021,Previous,
Christine Lambrecht,Female,Germany,Social Democratic Party of Germany,,Executive,2021,2021,Former,LambrechtMdB,True,100.0,f,Germany,SPD,Federal Minister of Defence,Executive,Cabinet,2021,Previous,
Christine Lambrecht,Female,Germany,Social Democratic Party of Germany,,Executive,2018,2021,Former,LambrechtMdB,True,100.0,f,Germany,SPD,Federal Minister of Defence,Executive,Cabinet,2021,Previous,
Dorothee Bär,Female,Germany,Christian Social Union of Bavaria,,Executive,,,Current,DoroBaer,True,100.0,f,Germany,CSU,"Federal Minister of Research, Technology and Space",Executive,Cabinet,2025,Incumbent,
Frank-Walter Steinmeier,Male,Germany,Social Democratic Party of Germany,,Executive,2017,,Current,,False,100.0,m,Germany,SPD,President,Executive,President,2017,Incumbent,
Friedrich Merz,Male,Germany,Christian Democratic Union,,Executive,2025,,Current,_FriedrichMerz,True,100.0,m,Germany,CDU,Chancellor,Executive,Chancellor,2025,Incumbent,
Gerd Müller,Male,Germany,Christian Social Union of Bavaria,,Executive,2013,2021,Former,gmueller2000,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2017,Previous,
Heiko Maas,Male,Germany,Social Democratic Party of Germany,,Executive,2018,2021,Former,HeikoMaas,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Previous,
Hubertus Heil,Male,Germany,Social Democratic Party of Germany,,Executive,2018,2025,Former,hubertus_heil,True,100.0,m,Germany,SPD,Federal Minister of Labour and Social Affairs,Executive,Cabinet,2021,Previous,
Jens Spahn,Male,Germany,Christian Democratic Union,,Executive,2018,2021,Former,jensspahn,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Julia Klöckner,Female,Germany,Christian Democratic Union,,Executive,2018,2021,Former,JuliaKloeckner,True,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Jörg Kukies,Male,Germany,Social Democratic Party of Germany,,Executive,2024,,Current,joergkukies,True,100.0,m,Germany,SPD,Federal Minister of Finance,Executive,Cabinet,2024,Previous,
Karin Prien,Female,Germany,Christian Democratic Union,,Executive,2025,,Current,PrienKarin,True,100.0,f,Germany,CDU,"Federal Minister for Education, Family Affairs, Senior Citizens, Women and Youth",Executive,Cabinet,2025,Incumbent,
Karl Lauterbach,Male,Germany,Social Democratic Party of Germany,,Executive,2021,2025,Former,Karl_Lauterbach,True,100.0,m,Germany,SPD,Federal Minister of Health,Executive,Cabinet,2021,Previous,
Karsten Wildberger,Male,Germany,Christian Democratic Union,,Executive,2025,,Current,,False,100.0,m,Germany,CDU,Federal Minister for Digital Transformation and Government Modernisation,Executive,Cabinet,2025,Incumbent,
